index	question	answer	task	image_relation	image_type	counterpart_idx	image_path	A	B	C	D	E
0	Identify the map image that shows overlapping geographic areas similar to <image>.	C	Geographic Understanding	Overall Similarity	Map	1	['00000000_00.jpg', '00000000_01.jpg', '00000000_02.jpg', '00000000_03.jpg']	None of the choices provided	<image>	<image>	<image>	
1	Identify the map image that shows overlapping geographic areas similar to <image>.	C	Geographic Understanding	Overall Similarity	Map	0	['00000001_00.jpg', '00000001_01.jpg', '00000001_02.jpg', '00000001_03.jpg']	<image>	<image>	None of the choices provided	<image>	
2	Which map image portrays the same overlapping geographic region as in <image>?	A	Geographic Understanding	Overall Similarity	Map	3	['00000002_00.jpg', '00000002_01.jpg', '00000002_02.jpg', '00000002_03.jpg']	<image>	<image>	None of the choices provided	<image>	
3	Which map image portrays the same overlapping geographic region as in <image>?	B	Geographic Understanding	Overall Similarity	Map	2	['00000003_00.jpg', '00000003_01.jpg', '00000003_02.jpg', '00000003_03.jpg']	<image>	None of the choices provided	<image>	<image>	
4	Determine the map image that shares overlapping geographic features with <image>.	D	Geographic Understanding	Overall Similarity	Map	5	['00000004_00.jpg', '00000004_01.jpg', '00000004_02.jpg', '00000004_03.jpg']	<image>	<image>	None of the choices provided	<image>	
5	Determine the map image that shares overlapping geographic features with <image>.	D	Geographic Understanding	Overall Similarity	Map	4	['00000005_00.jpg', '00000005_01.jpg', '00000005_02.jpg', '00000005_03.jpg']	<image>	<image>	<image>	None of the choices provided	
6	Select the map image that represents geographic regions overlapping with <image>.	C	Geographic Understanding	Overall Similarity	Map	7	['00000006_00.jpg', '00000006_01.jpg', '00000006_02.jpg', '00000006_03.jpg']	None of the choices provided	<image>	<image>	<image>	
7	Select the map image that represents geographic regions overlapping with <image>.	D	Geographic Understanding	Overall Similarity	Map	6	['00000007_00.jpg', '00000007_01.jpg', '00000007_02.jpg', '00000007_03.jpg']	<image>	<image>	<image>	None of the choices provided	
8	Among these map images, which one depicts overlapping geographic regions like <image>?	C	Geographic Understanding	Overall Similarity	Map	9	['00000008_00.jpg', '00000008_01.jpg', '00000008_02.jpg', '00000008_03.jpg']	None of the choices provided	<image>	<image>	<image>	
9	Among these map images, which one depicts overlapping geographic regions like <image>?	C	Geographic Understanding	Overall Similarity	Map	8	['00000009_00.jpg', '00000009_01.jpg', '00000009_02.jpg', '00000009_03.jpg']	<image>	<image>	None of the choices provided	<image>	
10	Select the map image that represents geographic regions overlapping with <image>.	D	Geographic Understanding	Overall Similarity	Map	11	['00000010_00.jpg', '00000010_01.jpg', '00000010_02.jpg', '00000010_03.jpg']	<image>	<image>	None of the choices provided	<image>	
11	Select the map image that represents geographic regions overlapping with <image>.	D	Geographic Understanding	Overall Similarity	Map	10	['00000011_00.jpg', '00000011_01.jpg', '00000011_02.jpg', '00000011_03.jpg']	<image>	<image>	<image>	None of the choices provided	
12	Which map image portrays the same overlapping geographic region as in <image>?	D	Geographic Understanding	Overall Similarity	Map	13	['00000012_00.jpg', '00000012_01.jpg', '00000012_02.jpg', '00000012_03.jpg']	None of the choices provided	<image>	<image>	<image>	
13	Which map image portrays the same overlapping geographic region as in <image>?	C	Geographic Understanding	Overall Similarity	Map	12	['00000013_00.jpg', '00000013_01.jpg', '00000013_02.jpg', '00000013_03.jpg']	<image>	<image>	None of the choices provided	<image>	
14	Find the map image that exhibits overlapping geographic features akin to <image>.	D	Geographic Understanding	Overall Similarity	Map	15	['00000014_00.jpg', '00000014_01.jpg', '00000014_02.jpg', '00000014_03.jpg']	<image>	<image>	None of the choices provided	<image>	
15	Find the map image that exhibits overlapping geographic features akin to <image>.	B	Geographic Understanding	Overall Similarity	Map	14	['00000015_00.jpg', '00000015_01.jpg', '00000015_02.jpg', '00000015_03.jpg']	<image>	None of the choices provided	<image>	<image>	
16	Which map image contains overlapping geographical areas, similar to those in <image>?	D	Geographic Understanding	Overall Similarity	Map	17	['00000016_00.jpg', '00000016_01.jpg', '00000016_02.jpg', '00000016_03.jpg']	<image>	None of the choices provided	<image>	<image>	
17	Which map image contains overlapping geographical areas, similar to those in <image>?	A	Geographic Understanding	Overall Similarity	Map	16	['00000017_00.jpg', '00000017_01.jpg', '00000017_02.jpg', '00000017_03.jpg']	None of the choices provided	<image>	<image>	<image>	
18	Among these map images, which one depicts overlapping geographic regions like <image>?	B	Geographic Understanding	Overall Similarity	Map	19	['00000018_00.jpg', '00000018_01.jpg', '00000018_02.jpg', '00000018_03.jpg']	<image>	<image>	None of the choices provided	<image>	
19	Among these map images, which one depicts overlapping geographic regions like <image>?	A	Geographic Understanding	Overall Similarity	Map	18	['00000019_00.jpg', '00000019_01.jpg', '00000019_02.jpg', '00000019_03.jpg']	None of the choices provided	<image>	<image>	<image>	
